[2025-07-26 22:12:47] Service de surveillance démarré.
[2025-07-26 22:12:47] Souris - Clic à (963, 265) avec le bouton Button.left
[2025-07-26 22:12:48] Souris - Mouvement à (940, 527)
[2025-07-26 22:12:48] Souris - Mouvement à (939, 528)
[2025-07-26 22:12:48] Souris - Mouvement à (939, 529)
[2025-07-26 22:12:48] Souris - Mouvement à (938, 530)
[2025-07-26 22:12:48] Souris - Mouvement à (938, 532)
[2025-07-26 22:12:48] Souris - Mouvement à (936, 534)
[2025-07-26 22:12:48] Souris - Mouvement à (936, 536)
[2025-07-26 22:12:48] Souris - Mouvement à (935, 538)
[2025-07-26 22:12:48] Souris - Mouvement à (935, 539)
[2025-07-26 22:12:48] Souris - Mouvement à (934, 540)
[2025-07-26 22:12:48] Souris - Mouvement à (933, 541)
[2025-07-26 22:12:48] Souris - Mouvement à (933, 542)
[2025-07-26 22:12:48] Souris - Mouvement à (932, 544)
[2025-07-26 22:12:48] Souris - Mouvement à (930, 546)
[2025-07-26 22:12:48] Souris - Mouvement à (929, 548)
[2025-07-26 22:12:48] Souris - Mouvement à (928, 549)
[2025-07-26 22:12:48] Souris - Mouvement à (927, 551)
[2025-07-26 22:12:48] Souris - Mouvement à (926, 553)
[2025-07-26 22:12:48] Souris - Mouvement à (924, 556)
[2025-07-26 22:12:48] Souris - Mouvement à (923, 558)
[2025-07-26 22:12:48] Souris - Mouvement à (922, 561)
[2025-07-26 22:12:48] Souris - Mouvement à (921, 562)
[2025-07-26 22:12:48] Souris - Mouvement à (920, 564)
[2025-07-26 22:12:48] Souris - Mouvement à (918, 566)
[2025-07-26 22:12:48] Souris - Mouvement à (917, 569)
[2025-07-26 22:12:49] Souris - Mouvement à (916, 570)
[2025-07-26 22:12:49] Souris - Mouvement à (915, 571)
[2025-07-26 22:12:49] Souris - Mouvement à (914, 574)
[2025-07-26 22:12:49] Souris - Mouvement à (913, 575)
[2025-07-26 22:12:49] Souris - Mouvement à (912, 577)
[2025-07-26 22:12:49] Souris - Mouvement à (911, 578)
[2025-07-26 22:12:49] Souris - Mouvement à (909, 582)
[2025-07-26 22:12:49] Souris - Mouvement à (909, 583)
[2025-07-26 22:12:49] Souris - Mouvement à (908, 584)
[2025-07-26 22:12:49] Souris - Mouvement à (907, 587)
[2025-07-26 22:12:49] Souris - Mouvement à (905, 589)
[2025-07-26 22:12:49] Souris - Mouvement à (903, 591)
[2025-07-26 22:12:49] Souris - Mouvement à (902, 592)
[2025-07-26 22:12:49] Souris - Mouvement à (901, 594)
[2025-07-26 22:12:49] Souris - Mouvement à (900, 595)
[2025-07-26 22:12:49] Souris - Mouvement à (898, 597)
[2025-07-26 22:12:49] Souris - Mouvement à (897, 599)
[2025-07-26 22:12:49] Souris - Mouvement à (896, 600)
[2025-07-26 22:12:49] Souris - Mouvement à (894, 601)
[2025-07-26 22:12:49] Souris - Mouvement à (893, 602)
[2025-07-26 22:12:49] Souris - Mouvement à (891, 604)
[2025-07-26 22:12:49] Souris - Mouvement à (890, 605)
[2025-07-26 22:12:49] Souris - Mouvement à (888, 606)
[2025-07-26 22:12:49] Souris - Mouvement à (885, 607)
[2025-07-26 22:12:49] Souris - Mouvement à (884, 609)
[2025-07-26 22:12:49] Souris - Mouvement à (882, 612)
[2025-07-26 22:12:49] Souris - Mouvement à (880, 614)
[2025-07-26 22:12:49] Souris - Mouvement à (878, 615)
[2025-07-26 22:12:49] Souris - Mouvement à (877, 615)
[2025-07-26 22:12:49] Souris - Mouvement à (875, 617)
[2025-07-26 22:12:49] Souris - Mouvement à (873, 618)
[2025-07-26 22:12:49] Souris - Mouvement à (869, 620)
[2025-07-26 22:12:49] Souris - Mouvement à (866, 621)
[2025-07-26 22:12:49] Souris - Mouvement à (864, 622)
[2025-07-26 22:12:49] Souris - Mouvement à (862, 623)
[2025-07-26 22:12:49] Souris - Mouvement à (860, 624)
[2025-07-26 22:12:49] Souris - Mouvement à (856, 626)
[2025-07-26 22:12:49] Souris - Mouvement à (855, 627)
[2025-07-26 22:12:49] Souris - Mouvement à (853, 628)
[2025-07-26 22:12:49] Souris - Mouvement à (850, 630)
[2025-07-26 22:12:49] Souris - Mouvement à (847, 632)
[2025-07-26 22:12:49] Souris - Mouvement à (845, 633)
[2025-07-26 22:12:49] Souris - Mouvement à (844, 634)
[2025-07-26 22:12:49] Souris - Mouvement à (843, 635)
[2025-07-26 22:12:49] Souris - Mouvement à (842, 636)
[2025-07-26 22:12:49] Souris - Mouvement à (840, 638)
[2025-07-26 22:12:49] Souris - Mouvement à (838, 639)
[2025-07-26 22:12:49] Souris - Mouvement à (836, 640)
[2025-07-26 22:12:49] Souris - Mouvement à (833, 642)
[2025-07-26 22:12:49] Souris - Mouvement à (830, 642)
[2025-07-26 22:12:49] Souris - Mouvement à (828, 644)
[2025-07-26 22:12:49] Souris - Mouvement à (827, 645)
[2025-07-26 22:12:49] Souris - Mouvement à (826, 646)
[2025-07-26 22:12:49] Souris - Mouvement à (824, 648)
[2025-07-26 22:12:49] Souris - Mouvement à (823, 650)
[2025-07-26 22:12:49] Souris - Mouvement à (822, 651)
[2025-07-26 22:12:49] Souris - Mouvement à (821, 652)
[2025-07-26 22:12:49] Souris - Mouvement à (820, 653)
[2025-07-26 22:12:49] Souris - Mouvement à (820, 655)
[2025-07-26 22:12:49] Souris - Mouvement à (819, 656)
[2025-07-26 22:12:49] Souris - Mouvement à (818, 657)
[2025-07-26 22:12:49] Souris - Mouvement à (818, 658)
[2025-07-26 22:12:49] Souris - Mouvement à (817, 659)
[2025-07-26 22:12:49] Souris - Mouvement à (817, 661)
[2025-07-26 22:12:49] Souris - Mouvement à (815, 664)
[2025-07-26 22:12:49] Souris - Mouvement à (814, 665)
[2025-07-26 22:12:49] Souris - Mouvement à (814, 667)
[2025-07-26 22:12:49] Souris - Mouvement à (814, 668)
[2025-07-26 22:12:49] Souris - Mouvement à (814, 670)
[2025-07-26 22:12:49] Souris - Mouvement à (813, 671)
[2025-07-26 22:12:49] Souris - Mouvement à (812, 672)
[2025-07-26 22:12:49] Souris - Mouvement à (812, 673)
[2025-07-26 22:12:49] Souris - Mouvement à (812, 674)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 676)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 677)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 679)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 680)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 682)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 683)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 685)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 686)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 688)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 689)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 691)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 692)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 694)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 695)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 697)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 698)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 700)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 701)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 702)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 703)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 705)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 706)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 707)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 709)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 710)
[2025-07-26 22:12:49] Souris - Mouvement à (811, 712)
[2025-07-26 22:12:50] Souris - Mouvement à (811, 713)
[2025-07-26 22:12:50] Souris - Mouvement à (812, 716)
[2025-07-26 22:12:50] Souris - Mouvement à (812, 717)
[2025-07-26 22:12:50] Souris - Mouvement à (813, 719)
[2025-07-26 22:12:50] Souris - Mouvement à (813, 722)
[2025-07-26 22:12:50] Souris - Mouvement à (815, 724)
[2025-07-26 22:12:50] Souris - Mouvement à (815, 727)
[2025-07-26 22:12:50] Souris - Mouvement à (816, 730)
[2025-07-26 22:12:50] Souris - Mouvement à (816, 732)
[2025-07-26 22:12:50] Souris - Mouvement à (818, 735)
[2025-07-26 22:12:50] Souris - Mouvement à (819, 737)
[2025-07-26 22:12:50] Souris - Mouvement à (819, 739)
[2025-07-26 22:12:50] Souris - Mouvement à (821, 742)
[2025-07-26 22:12:50] Souris - Mouvement à (822, 745)
[2025-07-26 22:12:50] Souris - Mouvement à (822, 746)
[2025-07-26 22:12:50] Souris - Mouvement à (824, 749)
[2025-07-26 22:12:50] Souris - Mouvement à (824, 751)
[2025-07-26 22:12:50] Souris - Mouvement à (826, 754)
[2025-07-26 22:12:50] Souris - Mouvement à (827, 755)
[2025-07-26 22:12:50] Souris - Mouvement à (827, 757)
[2025-07-26 22:12:50] Souris - Mouvement à (828, 758)
[2025-07-26 22:12:50] Souris - Mouvement à (828, 760)
[2025-07-26 22:12:50] Souris - Mouvement à (830, 762)
